gamma_degrees,centered_detection_threshold,devicente_threshold
0.0000000000,1.0000000000,1.0000000000
0.2500000000,0.2349378873,0.9828463135
0.5000000000,0.2338250203,0.9662724413
0.7500000000,0.2327291303,0.9502506744
1.0000000000,0.2316499764,0.9347550392
1.2500000000,0.2305873225,0.9197611631
1.5000000000,0.2295409377,0.9052461538
1.7500000000,0.2285105956,0.8911884886
2.0000000000,0.2274960748,0.8775679137
2.2500000000,0.2264971583,0.8643653522
2.5000000000,0.2255136337,0.8515628199
2.7500000000,0.2245452932,0.8391433486
3.0000000000,0.2235919329,0.8270909153
3.2500000000,0.2226533536,0.8153903776
3.5000000000,0.2217293598,0.8040274140
3.7500000000,0.2208197605,0.7929884693
4.0000000000,0.2199243683,0.7822607041
4.2500000000,0.2190429999,0.7718319484
4.5000000000,0.2181754757,0.7616906586
4.7500000000,0.2173216199,0.7518258777
5.0000000000,0.2164812603,0.7422271990
5.2500000000,0.2156542283,0.7328847316
5.5000000000,0.2148403588,0.7237890695
5.7500000000,0.2140394902,0.7149312621
6.0000000000,0.2132514641,0.7063027868
6.2500000000,0.2124761256,0.6978955243
6.5000000000,0.2117133229,0.6897017350
6.7500000000,0.2109629073,0.6817140371
7.0000000000,0.2102247335,0.6739253862
7.2500000000,0.2094986589,0.6663290563
7.5000000000,0.2087845441,0.6589186226
7.7500000000,0.2080822525,0.6516879442
8.0000000000,0.2073916505,0.6446311491
8.2500000000,0.2067126072,0.6377426199
8.5000000000,0.2060449945,0.6310169798
8.7500000000,0.2053886871,0.6244490802
9.0000000000,0.2047435623,0.6180339887
9.2500000000,0.2041094999,0.6117669783
9.5000000000,0.2034863824,0.6056435163
9.7500000000,0.2028740948,0.5996592550
10.0000000000,0.2022725246,0.5938100222
10.2500000000,0.2016815615,0.5880918127
10.5000000000,0.2011010979,0.5825007798
10.7500000000,0.2005310284,0.5770332281
11.0000000000,0.1999712498,0.5716856056
11.2500000000,0.1994216613,0.5664544974
11.5000000000,0.1988821643,0.5613366189
11.7500000000,0.1983526624,0.5563288100
12.0000000000,0.1978330611,0.5514280291
12.2500000000,0.1973232684,0.5466313477
12.5000000000,0.1968231942,0.5419359455
12.7500000000,0.1963327503,0.5373391051
13.0000000000,0.1958518507,0.5328382077
13.2500000000,0.1953804113,0.5284307288
13.5000000000,0.1949183499,0.5241142340
13.7500000000,0.1944655863,0.5198863748
14.0000000000,0.1940220421,0.5157448854
14.2500000000,0.1935876409,0.5116875787
14.5000000000,0.1931623079,0.5077123433
14.7500000000,0.1927459702,0.5038171403
15.0000000000,0.1923385569,0.5000000000
15.2500000000,0.1919399983,0.4962590194
15.5000000000,0.1915502271,0.4925923592
15.7500000000,0.1911691771,0.4889982414
16.0000000000,0.1907967840,0.4854749468
16.2500000000,0.1904329854,0.4820208125
16.5000000000,0.1900777200,0.4786342299
16.7500000000,0.1897309287,0.4753136423
17.0000000000,0.1893925534,0.4720575434
17.2500000000,0.1890625380,0.4688644746
17.5000000000,0.1887408277,0.4657330238
17.7500000000,0.1884273693,0.4626618234
18.0000000000,0.1881221112,0.4596495484
18.2500000000,0.1878250032,0.4566949154
18.5000000000,0.1875359964,0.4537966805
18.7500000000,0.1872550436,0.4509536379
19.0000000000,0.1869820991,0.4481646190
19.2500000000,0.1867171182,0.4454284904
19.5000000000,0.1864600581,0.4427441530
19.7500000000,0.1862108770,0.4401105409
20.0000000000,0.1859695347,0.4375266198
20.2500000000,0.1857359924,0.4349913863
20.5000000000,0.1855102124,0.4325038666
20.7500000000,0.1852921585,0.4300631154
21.0000000000,0.1850817959,0.4276682154
21.2500000000,0.1848790909,0.4253182757
21.5000000000,0.1846840113,0.4230124312
21.7500000000,0.1844965261,0.4207498420
22.0000000000,0.1843166056,0.4185296921
22.2500000000,0.1841442213,0.4163511889
22.5000000000,0.1839793460,0.4142135624
22.7500000000,0.1838219538,0.4121160642
23.0000000000,0.1836720199,0.4100579673
23.2500000000,0.1835295211,0.4080385651
23.5000000000,0.1833944349,0.4060571705
23.7500000000,0.1832667404,0.4041131161
24.0000000000,0.1831464178,0.4022057525
24.2500000000,0.1830334485,0.4003344488
24.5000000000,0.1829278150,0.3984985911
24.7500000000,0.1828295012,0.3966975829
25.0000000000,0.1827384921,0.3949308436
25.2500000000,0.1826547738,0.3931978090
25.5000000000,0.1825783337,0.3914979298
25.7500000000,0.1825091603,0.3898306722
26.0000000000,0.1824472433,0.3881955167
26.2500000000,0.1823925735,0.3865919578
26.5000000000,0.1823451430,0.3850195040
26.7500000000,0.1823049450,0.3834776770
27.0000000000,0.1822719738,0.3819660113
27.2500000000,0.1822462250,0.3804840541
27.5000000000,0.1822276952,0.3790313650
27.7500000000,0.1822163823,0.3776075153
28.0000000000,0.1822122853,0.3762120878
28.2500000000,0.1822154043,0.3748446769
28.5000000000,0.1822257406,0.3735048876
28.7500000000,0.1822432967,0.3721923357
29.0000000000,0.1822680763,0.3709066475
