region,alpha,beta,dimension,samples,seed,q10,median,q90,limiting_tau
inside,0.5,0.5,24,48,20260716,0.7071542183421765,0.707507562617228,0.7089330943992092,0.7071067811865475
inside,0.5,0.5,48,48,20260716,0.7071093299033312,0.7071928716055081,0.7076238925738225,0.7071067811865475
inside,0.5,0.5,96,48,20260716,0.7071071773859366,0.7071263370653202,0.7072674406895794,0.7071067811865475
inside,0.5,0.5,160,48,20260716,0.7071077289448594,0.7071169266000732,0.7071403044782956,0.7071067811865475
boundary,0.9,0.2,24,48,20260716,0.7077078096537016,0.7191800053628075,0.7409397289703886,0.7071067811865475
boundary,0.9,0.2,48,48,20260716,0.7075746436127462,0.7127001091417475,0.7199738117607798,0.7071067811865475
boundary,0.9,0.2,96,48,20260716,0.7071540415869311,0.7087383082950758,0.7117378287936097,0.7071067811865475
boundary,0.9,0.2,160,48,20260716,0.707151719144381,0.7079561549782948,0.7091705390169782,0.7071067811865475
outside,0.95,0.2,24,48,20260716,0.7176022576013702,0.7374966762981954,0.7725633761536131,0.7103939312130599
outside,0.95,0.2,48,48,20260716,0.7129369379768874,0.7248399257225739,0.7358371245045744,0.7103939312130599
outside,0.95,0.2,96,48,20260716,0.7141378966386548,0.717969837800201,0.7216848987933862,0.7103939312130599
outside,0.95,0.2,160,48,20260716,0.7121584160328145,0.7153400923811996,0.7192835592931781,0.7103939312130599
